Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr,ssim,vmaf,
67,1.000001,1.000006,1.000000,1.000001,1.000001,0.091455,0.091455,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.555126,
68,1.000001,1.000006,1.000000,1.000001,1.000001,2.864078,3.033704,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
69,1.000001,1.000006,1.000000,1.000001,1.000001,0.183560,2.864078,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.683335,
70,1.000001,1.000006,1.000000,1.000001,1.000000,0.183560,0.183560,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.683307,
71,1.000001,1.000006,1.000000,1.000001,1.000001,2.921660,2.921660,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
72,1.000001,1.000004,1.000000,1.000001,1.000001,0.011558,3.803301,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.443764,
73,1.000001,1.000005,1.000000,1.000001,1.000001,0.011558,0.011558,0.999995,0.999996,0.999996,0.999995,60.000000,1.000000,97.443776,
74,1.000001,1.000005,1.000000,1.000001,1.000001,5.141059,5.141059,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
75,1.000001,1.000004,1.000000,1.000001,1.000001,0.052866,5.199928,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.501280,
76,1.000001,1.000004,1.000000,1.000001,1.000001,0.052866,0.052866,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.501276,
77,1.000001,1.000005,1.000000,1.000001,1.000001,3.096325,4.714963,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,100.000000,
78,1.000001,1.000005,1.000000,1.000001,1.000001,0.173243,3.096325,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.668965,
79,1.000001,1.000005,1.000000,1.000001,1.000001,0.173243,0.173243,0.999995,0.999995,0.999995,0.999995,60.000000,1.000000,97.668950,
80,1.000001,1.000005,1.000000,1.000001,1.000001,3.518588,3.518588,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,100.000000,
81,1.000001,1.000006,1.000000,1.000001,1.000001,0.276916,3.791294,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.813150,
82,1.000001,1.000006,1.000000,1.000001,1.000001,0.276916,0.276916,0.999995,0.999996,0.999995,0.999995,60.000000,1.000000,97.813121,
